ID_Year,Year,ID_Antibiotic Class,Antibiotic_Class,Prescriptions_per_1000_Population,region
2013,2013,213,Cephalosporins,101,Illinois
2013,2013,213,Cephalosporins,172,Indiana
2013,2013,213,Cephalosporins,159,Iowa
2013,2013,213,Cephalosporins,156,Kansas
2013,2013,213,Cephalosporins,193,Kentucky
2013,2013,213,Cephalosporins,144,Louisiana
2013,2013,213,Cephalosporins,80,Maine
2013,2013,213,Cephalosporins,95,Maryland
2013,2013,213,Cephalosporins,89,Massachusetts
2013,2013,213,Cephalosporins,129,Michigan
2013,2013,213,Cephalosporins,96,Minnesota
2013,2013,213,Cephalosporins,182,Mississippi
2013,2013,213,Cephalosporins,133,Missouri
2013,2013,213,Cephalosporins,79,Montana
2013,2013,213,Cephalosporins,177,Nebraska
2013,2013,213,Cephalosporins,92,Nevada
2013,2013,213,Cephalosporins,85,New Hampshire
2013,2013,213,Cephalosporins,112,New Jersey
2013,2013,213,Cephalosporins,90,New Mexico
2013,2013,213,Cephalosporins,108,New York
2013,2013,213,Cephalosporins,126,North Carolina
2013,2013,213,Cephalosporins,140,North Dakota
2013,2013,213,Cephalosporins,129,Ohio
2013,2013,213,Cephalosporins,146,Oklahoma
2013,2013,213,Cephalosporins,68,Oregon
2013,2013,213,Cephalosporins,115,Pennsylvania
2013,2013,213,Cephalosporins,96,Rhode Island
2013,2013,213,Cephalosporins,132,South Carolina
2013,2013,213,Cephalosporins,158,South Dakota
2013,2013,213,Cephalosporins,177,Tennessee
2013,2013,213,Cephalosporins,135,Texas
2013,2013,213,Cephalosporins,127,Utah
2013,2013,213,Cephalosporins,84,Vermont
2013,2013,213,Cephalosporins,124,Virginia
2013,2013,213,Cephalosporins,81,Washington
2013,2013,213,Cephalosporins,209,West Virginia
2013,2013,213,Cephalosporins,89,Wisconsin
2013,2013,213,Cephalosporins,113,Wyoming
2014,2014,213,Cephalosporins,112,United States
2014,2014,213,Cephalosporins,170,Alabama
2014,2014,213,Cephalosporins,60,Alaska
2014,2014,213,Cephalosporins,107,Arizona
2014,2014,213,Cephalosporins,174,Arkansas
2014,2014,213,Cephalosporins,73,California
2014,2014,213,Cephalosporins,85,Colorado
2014,2014,213,Cephalosporins,109,Connecticut
2014,2014,213,Cephalosporins,113,Delaware
2014,2014,213,Cephalosporins,103,District of Columbia
2014,2014,213,Cephalosporins,87,Florida
2014,2014,213,Cephalosporins,110,Georgia
2014,2014,213,Cephalosporins,72,Hawaii
2014,2014,213,Cephalosporins,103,Idaho
2014,2014,213,Cephalosporins,98,Illinois
2014,2014,213,Cephalosporins,164,Indiana
2014,2014,213,Cephalosporins,162,Iowa
2014,2014,213,Cephalosporins,155,Kansas
